Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Abdullah Awaji,sa KSA,MF,Al-Faisaly,20,1994,1,0,33,0,0,0,0,0,0,0,0,0,0,0,2014
Mohamed Awal,gh GHA,DF,Al-Shabab,26,1988,9,9,810,0,0,0,0,1,0,0,0,0,0,0,2014
Fares Al-Ayyaf,sa KSA,MF,Al-Raed,22,1992,22,18,"1,495",1,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,2014
Hattan Bahebri,sa KSA,MF,Al-Khaleej,22,1992,18,13,"1,116",1,1,0,0,4,0,0.08,0.08,0.16,0.08,0.16,2014
Jamal Bajandouh,sa KSA,MF,Al-Ittihad,21,1992,21,18,"1,661",0,0,0,0,6,0,0,0,0,0,0,2014
Yaseen Al Bakheet,jo JOR,MF,Al-Shoulla,26,1988,13,11,918,0,1,0,0,1,0,0,0.1,0.1,0,0.1,2014
Waleed Bakshween,sa KSA,"DF,MF",Al-Ahli,24,1989,26,26,"2,247",0,1,0,0,4,0,0,0.04,0.04,0,0.04,2014
Ageel Balghaith,sa KSA,DF,Al-Ahli,27,1987,11,11,949,0,0,0,0,2,0,0,0,0,0,0,2014
Emmanuel Banahene,gh GHA,"DF,FW",Al-Orobah,25,1988,12,9,817,2,0,0,0,0,0,0.22,0,0.22,0.22,0.22,2014
Khalil Bani Attiah,jo JOR,"DF,MF",Al-Faisaly,23,1991,20,9,"1,021",4,1,0,0,1,0,0.35,0.09,0.44,0.35,0.44,2014
Anas Bani Yaseen,jo JOR,DF,Al-Raed,25,1988,25,25,"2,152",2,0,0,0,3,1,0.08,0,0.08,0.08,0.08,2014
Abdulrahman Al-Barakah,sa KSA,MF,Al-Raed,23,1990,18,16,"1,443",0,1,0,0,4,0,0,0.06,0.06,0,0.06,2014
Sultan Al-Bargan,sa KSA,MF,Al-Shoulla,31,1983,23,23,"1,997",0,0,0,0,6,0,0,0,0,0,0,2014
Yassin Barnawi,sa KSA,DF,Al-Faisaly,20,1993,24,23,"2,020",0,3,0,0,6,1,0,0.13,0.13,0,0.13,2014
Sami Bashir,sa KSA,DF,Al-Faisaly,26,1988,20,16,"1,350",0,0,0,0,2,0,0,0,0,0,0,2014
Mustafa Bassas,sa KSA,"FW,MF",Al-Ahli,21,1993,20,20,"1,635",5,4,0,0,5,0,0.28,0.22,0.5,0.28,0.5,2014
Rayan Belal,sa KSA,FW,Al-Taawoun,25,1988,10,4,490,1,1,0,0,0,0,0.18,0.18,0.37,0.18,0.37,2014
Abdulaziz Al Bishi,sa KSA,MF,Al-Shabab,26,1988,7,2,332,1,1,0,0,1,0,0.27,0.27,0.54,0.27,0.54,2014
Jufain Al-Bishi,sa KSA,DF,Al-Raed,27,1987,22,22,"1,957",0,0,0,0,4,0,0,0,0,0,0,2014
Mohamed Al-Bishi,sa KSA,DF,Al-Nassr,27,1987,10,6,606,0,0,0,0,0,0,0,0,0,0,0,2014
Mosfer Al Bishi,sa KSA,MF,Al-Shoulla,26,1988,14,4,528,2,1,0,0,0,0,0.34,0.17,0.51,0.34,0.51,2014
Sayaf Al-Bishi,sa KSA,DF,Al-Shabab,34,1980,14,13,"1,154",1,0,0,0,1,0,0.08,0,0.08,0.08,0.08,2014
Abdullah Bo Homail,sa KSA,MF,Hajer,28,1986,7,5,496,0,1,0,0,2,0,0,0.18,0.18,0,0.18,2014
Rayan Al-Boqami,sa KSA,MF,Najran,21,1992,4,3,278,0,0,0,0,2,0,0,0,0,0,0,2014
Aminou Bouba,cm CMR,DF,Al-Khaleej,23,1991,11,11,990,3,0,0,0,3,0,0.27,0,0.27,0.27,0.27,2014
Bojan Božović,me MNE,FW,Al-Shoulla,29,1985,11,4,491,1,0,0,0,1,0,0.18,0,0.18,0.18,0.18,2014
Mohammed Al-Breik,sa KSA,DF,Al-Raed,21,1992,13,13,"1,170",0,0,0,0,1,0,0,0,0,0,0,2014
Tawfiq Bu Haymid,sa KSA,"DF,MF",Al-Fateh,27,1987,18,13,"1,187",1,0,0,0,4,0,0.08,0,0.08,0.08,0.08,2014
Sadat Bukari,gh GHA,FW,Al-Shoulla,25,1989,10,7,666,3,0,1,1,2,0,0.41,0,0.41,0.27,0.27,2014
Jhasmani Campos,bo BOL,MF,Al-Orobah,26,1988,8,8,651,0,0,0,0,1,0,0,0,0,0,0,2014
Bruno César,br BRA,"FW,MF",Al-Ahli,25,1988,10,2,269,1,1,1,1,2,0,0.33,0.33,0.67,0,0.33,2014
Farid Cheklam,dz ALG,DF,Najran,29,1984,19,18,"1,496",0,0,0,0,3,0,0,0,0,0,0,2014
Park Chu-young,kr KOR,"FW,MF",Al-Shabab,29,1985,7,5,522,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,2014
Winful Cobbinah,gh GHA,MF,Najran,22,1991,17,17,"1,491",3,1,0,0,2,0,0.18,0.06,0.24,0.18,0.24,2014
Rogerio Coutinho,sa KSA,FW,Al-Shabab,27,1987,5,5,388,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,2014
Abdulrahman Dagriri,sa KSA,GK,Hajer,24,1990,3,2,203,0,0,0,0,0,0,0,0,0,0,0,2014
Yahya Dagriri,sa KSA,"FW,MF",Al-Ittihad,22,1991,3,2,105,1,0,0,0,0,0,0.86,0,0.86,0.86,0.86,2014
Mohammed Al-Dahi,sa KSA,MF,Al-Khaleej,25,1988,8,5,336,0,0,0,0,0,0,0,0,0,0,0,2014
Hamza Al-Dardour,jo JOR,FW,Al-Khaleej,23,1991,26,23,"2,088",7,2,0,0,2,0,0.3,0.09,0.39,0.3,0.39,2014
Faisel Darwish,sa KSA,"DF,MF",Al-Hilal,23,1991,10,7,635,1,3,0,0,1,0,0.14,0.43,0.57,0.14,0.57,2014
Faisel Darwish,sa KSA,"DF,MF",Al-Raed,23,1991,13,12,"1,140",0,0,0,0,1,0,0,0,0,0,0,2014
Abdullah Al-Dawsari,sa KSA,"DF,MF",Al-Fateh,24,1990,12,11,970,0,0,0,0,3,0,0,0,0,0,0,2014
Abdullaziz Al-Dawsari,sa KSA,MF,Al-Hilal,25,1988,19,8,792,0,1,0,0,1,0,0,0.11,0.11,0,0.11,2014
