Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,GA,G_PK,GA_PK,year
Abdullah Khattab,sa KSA,FW,Al-Wehda,20,1994,2,0,84,0,0,0,0,0,0,0,0,0,0,0,2015
Salim Al Khebari,sa KSA,FW,Al-Faisaly,25,1990,8,1,98,2,0,0,0,0,0,1.84,0,1.84,1.84,1.84,2015
Maan Khodari,sa KSA,MF,Najran,23,1991,11,9,772,0,0,0,0,2,0,0,0,0,0,0,2015
Ali Khormi,sa KSA,FW,Al-Raed,24,1990,7,3,334,0,0,0,0,1,0,0,0,0,0,0,2015
Yahya Khormi,sa KSA,MF,Al-Ittihad,17,1998,3,1,118,0,0,0,0,0,0,0,0,0,0,0,2015
Awadh Khrees,sa KSA,DF,Al-Ittihad,24,1991,13,12,"1,138",0,1,0,0,5,1,0,0.08,0.08,0,0.08,2015
Abdoulaye Koffi,ci CIV,FW,Al-Khaleej,23,1991,11,5,516,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,2015
Ahmed Krenshi,sa KSA,MF,Hajer,26,1988,13,11,792,0,1,0,0,2,0,0,0.11,0.11,0,0.11,2015
Amiri Kurdi,sa KSA,"DF,MF",Al-Ahli,23,1991,4,1,141,0,1,0,0,0,0,0,0.64,0.64,0,0.64,2015
Ali Lajami,sa KSA,DF,Al-Khaleej,19,1996,17,14,"1,296",3,0,0,0,4,0,0.21,0,0.21,0.21,0.21,2015
Adolfo Lima,uy URU,"FW,MF",Al-Wehda,25,1990,21,18,"1,617",1,3,0,0,1,0,0.06,0.17,0.22,0.06,0.22,2015
Bruno Lopes,br BRA,FW,Hajer,28,1986,12,9,850,2,1,1,2,1,0,0.21,0.11,0.32,0.11,0.21,2015
Gilberto Macena,br BRA,FW,Al-Qadsiah,31,1984,12,12,886,2,1,0,0,1,1,0.2,0.1,0.3,0.2,0.3,2015
Ricardo Machado,pt POR,DF,Al-Taawoun,26,1988,26,26,"2,340",2,0,0,0,2,0,0.08,0,0.08,0.08,0.08,2015
Ibrahim Madkhali,sa KSA,DF,Al-Raed,30,1984,9,9,732,0,0,0,0,0,0,0,0,0,0,0,2015
Mousa Madkhali,sa KSA,FW,Al-Wehda,27,1987,3,2,195,1,0,0,0,0,0,0.46,0,0.46,0.46,0.46,2015
Abdullah Madu,sa KSA,DF,Al-Nassr,22,1993,5,4,316,0,0,0,0,0,0,0,0,0,0,0,2015
Fawaz Al-Maghati,sa KSA,DF,Al-Qadsiah,28,1987,2,0,7,0,0,0,0,0,0,0,0,0,0,0,2015
Khaled Al-Maghrabi,sa KSA,DF,Al-Qadsiah,22,1992,5,5,450,0,0,0,0,1,0,0,0,0,0,0,2015
Ismael Al-Maghrebi,sa KSA,FW,Al-Shabab,24,1991,13,3,437,2,1,0,0,2,0,0.41,0.21,0.62,0.41,0.62,2015
Walid Mahboub,sa KSA,MF,Al-Wehda,33,1981,18,17,"1,520",0,1,0,0,2,0,0,0.06,0.06,0,0.06,2015
Modibo Maïga,ml MLI,"FW,MF",Al-Nassr,27,1987,19,15,"1,260",5,3,0,0,0,0,0.36,0.21,0.57,0.36,0.57,2015
Mohammed Majrashi,sa KSA,FW,Al-Taawoun,24,1991,8,1,124,0,0,0,0,1,0,0,0,0,0,0,2015
Talal Majrashi,sa KSA,MF,Al-Khaleej,24,1990,25,20,"1,766",1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,2015
Mustafa Malayekah,sa KSA,GK,Hajer,29,1986,22,21,"1,935",0,0,0,0,1,0,0,0,0,0,0,2015
Abdullah Al Malky,sa KSA,MF,Al-Wehda,23,1992,19,15,"1,408",0,2,0,0,4,0,0,0.13,0.13,0,0.13,2015
Malick Mané,sn SEN,"FW,MF",Najran,26,1988,8,4,350,0,0,0,0,0,0,0,0,0,0,0,2015
Sandro Manoel,br BRA,MF,Al-Taawoun,27,1988,25,25,"2,187",1,4,0,1,1,1,0.04,0.16,0.21,0.04,0.21,2015
Abdulaziz Al-Mansor,sa KSA,DF,Al-Wehda,24,1990,10,9,819,0,0,0,0,2,0,0,0,0,0,0,2015
Juan Manuel Falcón,ve VEN,"DF,FW",Al-Fateh,26,1989,11,7,631,2,1,0,0,3,0,0.29,0.14,0.43,0.29,0.43,2015
Mahmoud Al Maowas,sa KSA,FW,Al-Faisaly,22,1993,2,2,161,1,0,1,1,0,0,0.56,0,0.56,0,0,2015
Azzan Maqbol,sa KSA,MF,Najran,31,1984,2,1,66,0,0,0,0,0,0,0,0,0,0,0,2015
Faisal Al Margab,sa KSA,GK,Al-Taawoun,34,1981,4,4,307,0,0,0,0,0,0,0,0,0,0,0,2015
Marquinho,br BRA,"DF,MF",Al-Ahli,29,1986,13,7,645,1,2,0,0,0,0,0.14,0.28,0.42,0.14,0.42,2015
Majed Al Marshadi,sa KSA,DF,Al-Shabab,31,1984,14,11,"1,059",0,0,0,0,1,0,0,0,0,0,0,2015
Faisel Masrahi,sa KSA,GK,Al-Qadsiah,22,1993,26,26,"2,340",0,0,0,0,2,0,0,0,0,0,0,2015
Sultan Masrahi,sa KSA,DF,Al-Qadsiah,28,1987,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2015
Radhi Matar,sa KSA,DF,Hajer,24,1991,2,0,38,0,0,0,0,0,0,0,0,0,0,0,2015
Diego Maurício,br BRA,FW,Al-Qadsiah,24,1991,5,5,391,0,1,0,0,2,0,0,0.23,0.23,0,0.23,2015
Abdullah Al-Mayouf,sa KSA,GK,Al-Ahli,28,1987,4,4,360,0,0,0,0,0,0,0,0,0,0,0,2015
Ali Al-Mazidi,sa KSA,GK,Al-Fateh,29,1985,8,8,675,0,0,0,0,1,0,0,0,0,0,0,2015
Essa Al-Mehyani,sa KSA,FW,Najran,32,1983,17,12,"1,061",3,1,0,1,3,1,0.25,0.08,0.34,0.25,0.34,2015
Farid Mellouli,dz ALG,DF,Al-Qadsiah,31,1984,10,10,899,1,0,1,1,4,1,0.1,0,0.1,0,0,2015
Sultan Mendash,sa KSA,MF,Najran,20,1994,17,8,844,0,0,0,0,0,0,0,0,0,0,0,2015
Adrian Mierzejewski,pl POL,MF,Al-Nassr,28,1986,19,17,"1,486",10,6,3,3,1,0,0.61,0.36,0.97,0.42,0.79,2015
Salman Al-Moasher,sa KSA,MF,Al-Ahli,26,1988,24,22,"1,893",1,8,0,0,5,0,0.05,0.38,0.43,0.05,0.43,2015
Eid Mohammed,om OMA,MF,Al-Raed,24,1990,19,19,"1,684",2,1,0,0,2,0,0.11,0.05,0.16,0.11,0.16,2015
Gualberto Mojica,bo BOL,MF,Hajer,30,1984,6,6,460,0,1,0,0,0,0,0,0.2,0.2,0,0.2,2015
Youness Mokhtar,ma MAR,"FW,MF",Al-Nassr,23,1991,7,2,212,0,0,0,0,1,0,0,0,0,0,0,2015
Basem Al-Montashari,sa KSA,DF,Al-Ittihad,24,1990,3,2,218,0,0,0,0,1,0,0,0,0,0,0,2015
Hamad Al-Montashari,sa KSA,DF,Al-Ittihad,33,1982,8,7,646,0,0,0,0,1,0,0,0,0,0,0,2015
Hussain Al Moqahwi,sa KSA,MF,Al-Ahli,27,1988,23,20,"1,696",5,2,0,0,1,0,0.27,0.11,0.37,0.27,0.37,2015
Kamel Al-Mor,sa KSA,DF,Al-Taawoun,29,1986,10,7,682,0,0,0,0,3,0,0,0,0,0,0,2015
Yasser Al Mosailem,sa KSA,GK,Al-Ahli,31,1984,22,22,"1,980",0,0,0,0,1,0,0,0,0,0,0,2015
Kamil Al Mousa,sa KSA,DF,Al-Ahli,32,1982,2,2,180,0,0,0,0,0,0,0,0,0,0,0,2015
Motaz Al Mousa,sa KSA,MF,Najran,27,1987,13,13,"1,055",1,0,0,0,2,0,0.09,0,0.09,0.09,0.09,2015
Naif Al-Mousa,sa KSA,DF,Al-Taawoun,28,1986,22,14,"1,287",4,0,0,0,4,0,0.28,0,0.28,0.28,0.28,2015
Nooh Al-Mousa,sa KSA,MF,Al-Fateh,24,1991,2,1,76,0,0,0,0,0,0,0,0,0,0,0,2015
Rabi Al Mousa,sa KSA,DF,Najran,30,1984,17,17,"1,471",1,3,0,0,4,0,0.06,0.18,0.24,0.06,0.24,2015
Ryan Al Mousa,sa KSA,MF,Al-Ahli,21,1994,1,0,13,0,0,0,0,0,0,0,0,0,0,0,2015
Mahmoud Muaaz,sa KSA,DF,Al-Taawoun,30,1984,19,19,"1,614",0,1,0,0,7,2,0,0.06,0.06,0,0.06,2015
Hassan Muath Fallatah,sa KSA,DF,Al-Shabab,29,1986,19,18,"1,562",1,1,0,0,4,1,0.06,0.06,0.12,0.06,0.12,2015
Ahmed Al-Mubarak,sa KSA,MF,Al-Fateh,30,1985,13,10,880,1,0,0,0,3,1,0.1,0,0.1,0.1,0.1,2015
Fahad Al-Munaif,sa KSA,FW,Al-Faisaly,25,1989,14,1,204,0,0,0,0,0,0,0,0,0,0,0,2015
Fahad Al-Munaif,sa KSA,DF,Al-Faisaly,21,1994,3,0,43,0,0,0,0,0,0,0,0,0,0,0,2015
Sulley Muntari,gh GHA,MF,Al-Ittihad,30,1984,18,17,"1,367",2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,2015
Abdulaziz Al-Mutair,sa KSA,FW,Al-Qadsiah,22,1992,7,1,195,0,0,0,0,0,0,0,0,0,0,0,2015
Mohammed Al Mutawa,sa KSA,MF,Al-Khaleej,23,1992,1,1,58,0,0,0,0,0,0,0,0,0,0,0,2015
Muteb Al-Mutlaq,sa KSA,DF,Al-Nassr,17,1997,2,2,180,0,1,0,0,0,0,0,0.5,0.5,0,0.5,2015
Fahad Al Muwallad,sa KSA,"FW,MF",Al-Ittihad,20,1994,22,20,"1,793",3,7,0,1,3,0,0.15,0.35,0.5,0.15,0.5,2015
Nader Al-Muwallad,sa KSA,MF,Al-Raed,23,1992,14,11,981,0,0,0,0,3,0,0,0,0,0,0,2015
Omar Al-Muziel,sa KSA,DF,Al-Wehda,23,1992,5,5,362,0,0,0,0,2,1,0,0,0,0,0,2015
Ahmed Al-Nadhri,sa KSA,MF,Al-Ittihad,22,1993,10,4,472,1,0,0,0,1,0,0.19,0,0.19,0.19,0.19,2015
Hani Al-Nahedh,sa KSA,GK,Al-Ittihad,27,1987,3,3,270,0,0,0,0,0,0,0,0,0,0,0,2015
Mansour Al Najar,sa KSA,MF,Al-Wehda,,,7,6,552,0,0,0,0,1,0,0,0,0,0,0,2015
Mansour Al-Naje,sa KSA,GK,Al-Faisaly,36,1978,20,20,"1,800",0,0,0,0,0,0,0,0,0,0,0,2015
Sami Al-Najei,sa KSA,MF,Al-Nassr,18,1997,2,0,38,1,0,0,0,0,0,2.37,0,2.37,2.37,2.37,2015
Majed Al-Najrani,sa KSA,MF,Al-Qadsiah,22,1993,20,13,"1,327",0,1,0,0,1,0,0,0.07,0.07,0,0.07,2015
Bader Al-Nakhli,sa KSA,DF,Al-Fateh,27,1988,15,14,"1,284",2,0,0,0,4,0,0.14,0,0.14,0.14,0.14,2015
Mansor Namazi,sa KSA,DF,Hajer,22,1993,7,5,490,0,0,0,0,2,0,0,0,0,0,0,2015
André Ndame Ndame,cm CMR,MF,Al-Faisaly,27,1987,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2015
André Ndame Ndame,cm CMR,MF,Hajer,27,1987,11,11,930,0,0,0,0,3,0,0,0,0,0,0,2015
Sultan Al-Nemri,sa KSA,MF,Al-Wehda,29,1986,14,6,514,0,0,0,0,1,0,0,0,0,0,0,2015
Mohammed Noor,sa KSA,"FW,MF",Al-Ittihad,37,1978,7,2,173,0,0,0,0,1,0,0,0,0,0,0,2015
Ashraf Nu'man,ps PLE,"FW,MF",Hajer,29,1986,12,11,963,2,0,0,0,0,0,0.19,0,0.19,0.19,0.19,2015
Ahmed Al-Nufaili,sa KSA,DF,Hajer,21,1994,19,17,"1,558",0,0,0,0,1,0,0,0,0,0,0,2015
Abdurahman Al-Obaid,sa KSA,DF,Al-Qadsiah,22,1993,26,26,"2,340",1,4,0,0,2,0,0.04,0.15,0.19,0.04,0.19,2015
Nasser Al-Ojail,sa KSA,MF,Hajer,18,1996,5,1,193,0,0,0,0,0,0,0,0,0,0,0,2015
Anderson Oliveira,br BRA,MF,Al-Wehda,26,1989,6,3,178,0,0,0,0,0,0,0,0,0,0,0,2015
Mohammed Al-Omran,sa KSA,GK,Hajer,20,1994,2,2,135,0,0,0,0,0,0,0,0,0,0,0,2015
Ifeanyi Onyilo,ng NGA,FW,Al-Faisaly,24,1990,2,2,145,0,0,0,0,0,0,0,0,0,0,0,2015
Mosaab Al-Otaibi,sa KSA,MF,Al-Nassr,23,1992,1,0,20,0,0,0,0,0,0,0,0,0,0,0,2015
Ahmed Otaif,sa KSA,MF,Al-Shabab,32,1983,4,4,284,0,0,0,0,0,0,0,0,0,0,0,2015
Saqer Otaif,sa KSA,FW,Al-Wehda,24,1990,18,8,852,2,0,0,1,2,0,0.21,0,0.21,0.21,0.21,2015
Abdullah Otayf,sa KSA,MF,Al-Hilal,22,1992,12,10,705,0,0,0,0,1,0,0,0,0,0,0,2015
Maher Othman,sa KSA,MF,Al-Wehda,24,1991,10,10,889,0,1,0,0,3,0,0,0.1,0.1,0,0.1,2015
Sadat Ouro-Akoriko,tg TOG,DF,Al-Faisaly,27,1988,23,23,"2,070",1,0,0,0,3,0,0.04,0,0.04,0.04,0.04,2015
Mohammed Al-Owais,sa KSA,GK,Al-Shabab,23,1991,22,22,"1,929",0,0,0,0,2,0,0,0,0,0,0,2015
Abdullah Al-Owaishir,sa KSA,GK,Al-Fateh,24,1991,19,18,"1,665",0,0,0,0,3,0,0,0,0,0,0,2015
Adriano Pardal,br BRA,FW,Al-Faisaly,28,1987,12,12,"1,037",3,1,0,0,4,0,0.26,0.09,0.35,0.26,0.35,2015
Eric Pereira,br BRA,"FW,MF",Najran,29,1985,12,12,"1,038",4,6,2,2,3,0,0.35,0.52,0.87,0.17,0.69,2015
Marcos Pizzelli,am ARM,"FW,MF",Al-Raed,30,1984,13,12,"1,117",4,5,1,2,3,0,0.32,0.4,0.73,0.24,0.64,2015
Abdulkareem Al-Qahtani,sa KSA,MF,Al-Hilal,22,1993,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2015
Yasser Al-Qahtani,sa KSA,FW,Al-Hilal,32,1982,12,2,323,6,1,1,1,1,0,1.67,0.28,1.95,1.39,1.67,2015
Abdullah Qaisi,sa KSA,MF,Hajer,25,1990,13,7,651,0,1,0,0,1,0,0,0.14,0.14,0,0.14,2015
Assaf Al-Qarni,sa KSA,GK,Al-Ittihad,31,1984,15,14,"1,338",0,0,0,0,1,0,0,0,0,0,0,2015
Fawaz Al-Qarni,sa KSA,GK,Al-Ittihad,23,1992,9,9,732,0,0,0,0,0,0,0,0,0,0,0,2015
Issam Al-Qarni,sa KSA,MF,Al-Nassr,20,1995,1,0,10,0,0,0,0,0,0,0,0,0,0,0,2015
Mohammed Al-Qarni,sa KSA,MF,Al-Hilal,25,1989,5,3,256,0,0,0,0,1,0,0,0,0,0,0,2015
Mohammed Qassem,sa KSA,DF,Al-Ittihad,20,1995,11,10,906,0,0,0,0,1,0,0,0,0,0,0,2015
Saoud Qern,sa KSA,MF,Al-Raed,27,1987,1,0,33,0,0,0,0,1,0,0,0,0,0,0,2015
Abdulaziz Al-Qosair,sa KSA,FW,Al-Raed,21,1994,5,1,212,0,0,0,0,2,0,0,0,0,0,0,2015
Saleh Al-Qumaizi,sa KSA,DF,Al-Shabab,23,1991,13,8,736,0,2,0,0,1,0,0,0.24,0.24,0,0.24,2015
Amjed Radhi,iq IRQ,FW,Al-Raed,24,1991,6,4,383,0,0,0,0,0,0,0,0,0,0,0,2015
Radhi Al Radhi,sa KSA,MF,Hajer,23,1991,9,7,616,0,0,0,0,1,0,0,0,0,0,0,2015
Rafinha,br BRA,MF,Al-Shabab,31,1983,22,22,"1,858",4,2,0,0,3,1,0.19,0.1,0.29,0.19,0.29,2015
Rashed Al Rahab,sa KSA,DF,Hajer,31,1984,22,22,"1,980",0,0,0,0,4,0,0,0,0,0,0,2015
Hassan Al Raheb,sa KSA,FW,Al-Nassr,31,1983,17,6,717,4,2,0,0,2,0,0.5,0.25,0.75,0.5,0.75,2015
Héctor Ramos,pr PUR,FW,Al-Qadsiah,25,1990,2,2,169,0,1,0,0,0,0,0,0.53,0.53,0,0.53,2015
Mohammed Al-Rashid,sa KSA,FW,Al-Khaleej,35,1980,5,2,232,0,0,0,0,0,0,0,0,0,0,0,2015
Fahad Al-Rashidi,sa KSA,MF,Al-Faisaly,24,1991,3,1,95,0,0,0,0,0,0,0,0,0,0,0,2015
Murad Al Rashidi,sa KSA,MF,Hajer,23,1991,11,9,565,0,0,0,0,3,0,0,0,0,0,0,2015
Khaled Razi,sa KSA,GK,Hajer,33,1981,3,3,270,0,0,0,0,0,0,0,0,0,0,0,2015
Fernando Gabriel Vougado Ribeiro,br BRA,MF,Al-Faisaly,27,1988,2,2,154,0,0,0,0,0,0,0,0,0,0,0,2015
Ala Rishani,sa KSA,MF,Al-Khaleej,27,1987,20,19,"1,619",0,1,0,1,6,0,0,0.06,0.06,0,0.06,2015
Gelmin Rivas,ve VEN,FW,Al-Ittihad,26,1989,25,23,"2,047",19,4,4,6,1,0,0.84,0.18,1.01,0.66,0.84,2015
Hamad Al-Robeai,sa KSA,MF,Najran,34,1981,19,15,"1,194",2,2,0,0,0,0,0.15,0.15,0.3,0.15,0.3,2015
Rubinho,br BRA,MF,Al-Qadsiah,26,1988,1,1,45,0,0,0,0,0,0,0,0,0,0,0,2015
Abdulmajeed Al-Ruwaili,sa KSA,MF,Al-Taawoun,28,1986,25,24,"2,139",13,1,0,0,1,0,0.55,0.04,0.59,0.55,0.59,2015
Ahmad Saad,sa KSA,DF,Al-Wehda,30,1984,7,7,610,0,0,0,0,1,0,0,0,0,0,0,2015
Nawaf Al Sabhi,sa KSA,DF,Najran,28,1987,9,9,810,1,0,0,0,3,0,0.11,0,0.11,0.11,0.11,2015
Saleh Al Saeed,sa KSA,MF,Hajer,15,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,2015
Mohammed Al-Safri,sa KSA,MF,Al-Faisaly,25,1990,13,10,827,0,0,0,0,4,1,0,0,0,0,0,2015
Ziyad Al-Sahafi,sa KSA,DF,Al-Ittihad,20,1994,14,13,"1,121",1,0,0,0,2,0,0.08,0,0.08,0.08,0.08,2015
Mohammed Al Sahlawi,sa KSA,FW,Al-Nassr,28,1987,20,17,"1,614",5,3,2,2,1,0,0.28,0.17,0.45,0.17,0.33,2015
Mohammed Al-Saiari,sa KSA,FW,Hajer,22,1993,18,11,"1,044",6,0,0,0,6,0,0.52,0,0.52,0.52,0.52,2015
Abdulla Al Salem,sa KSA,"FW,MF",Al-Khaleej,22,1992,22,19,"1,502",2,3,0,0,1,0,0.12,0.18,0.3,0.12,0.3,2015
Mohammed Salem,sa KSA,DF,Al-Faisaly,29,1985,24,24,"2,090",1,1,0,0,4,1,0.04,0.04,0.09,0.04,0.09,2015
Moteab Salem,sa KSA,FW,Al-Qadsiah,24,1991,14,0,292,3,1,0,0,2,0,0.92,0.31,1.23,0.92,1.23,2015
Samer Salem,sa KSA,MF,Al-Khaleej,22,1992,12,2,285,1,1,0,0,2,0,0.32,0.32,0.63,0.32,0.63,2015
Yousef Al-Salem,sa KSA,FW,Al-Hilal,30,1985,12,4,434,2,2,0,0,0,0,0.41,0.41,0.83,0.41,0.83,2015
Abdullah Al-Salman,sa KSA,MF,Al-Taawoun,21,1994,1,1,60,0,0,0,0,0,0,0,0,0,0,0,2015
Saif Salman,iq IRQ,MF,Hajer,22,1993,10,9,834,0,1,0,0,3,0,0,0.11,0.11,0,0.11,2015
Zakaria Sami,sa KSA,MF,Hajer,23,1992,9,8,613,0,0,0,0,2,0,0,0,0,0,0,2015
Lucian Sânmărtean,ro ROU,MF,Al-Ittihad,35,1980,20,19,"1,664",6,4,0,0,7,1,0.32,0.22,0.54,0.32,0.54,2015
Adriano Alves dos Santos,br BRA,DF,Najran,30,1985,13,13,"1,170",3,1,0,0,2,0,0.23,0.08,0.31,0.23,0.31,2015
Fahad Al-Saqri,sa KSA,MF,Al-Faisaly,25,1989,22,9,"1,069",4,0,0,0,3,0,0.34,0,0.34,0.34,0.34,2015
Sultan Al-Sawadi,sa KSA,MF,Al-Raed,22,1992,18,13,"1,180",1,2,0,0,1,0,0.08,0.15,0.23,0.08,0.23,2015
Abdulmejed Al Sawat,de GER,DF,Al-Hilal,20,1995,2,0,63,0,0,0,0,1,0,0,0,0,0,0,2015
Yousef Al Sawsan,sa KSA,DF,Al-Fateh,25,1990,12,5,529,0,0,0,0,0,0,0,0,0,0,0,2015
Islam Seraj,sa KSA,MF,Al-Ahli,26,1989,20,11,964,4,1,0,0,3,0,0.37,0.09,0.47,0.37,0.47,2015
Hussain Shae'an,sa KSA,GK,Al-Nassr,26,1989,11,11,939,0,0,0,0,1,0,0,0,0,0,0,2015
Yasser Al-Shahrani,sa KSA,"DF,MF",Al-Hilal,23,1992,20,20,"1,777",1,0,0,0,3,0,0.05,0,0.05,0.05,0.05,2015
Salam Shaker,iq IRQ,"DF,MF",Al-Fateh,29,1986,23,21,"1,894",1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,2015
Mohammad Al-Shalhoub,sa KSA,MF,Al-Hilal,34,1980,17,11,996,1,2,0,0,0,0,0.09,0.18,0.27,0.09,0.27,2015
Talal Al-Shamali,sa KSA,MF,Al-Qadsiah,25,1990,6,3,207,0,0,0,0,1,0,0,0,0,0,0,2015
Abdullah Al-Shamekh,sa KSA,DF,Al-Raed,22,1993,13,13,"1,147",0,0,0,0,1,0,0,0,0,0,0,2015
Mousa Al-Shameri,sa KSA,FW,Al-Shabab,29,1986,13,6,571,0,1,0,0,1,0,0,0.16,0.16,0,0.16,2015
Abdullah Al-Shammari,sa KSA,DF,Al-Taawoun,21,1993,7,3,292,0,1,0,0,0,0,0,0.31,0.31,0,0.31,2015
Abdurahman Al-Shammeri,sa KSA,DF,Al-Nassr,26,1989,2,1,91,0,0,0,0,1,0,0,0,0,0,0,2015
Nasser Al-Shamrani,sa KSA,FW,Al-Hilal,31,1983,15,5,631,4,1,0,0,1,0,0.57,0.14,0.71,0.57,0.71,2015
Fahad Al-Shamri,sa KSA,GK,Al-Raed,34,1981,25,25,"2,250",0,0,0,0,2,0,0,0,0,0,0,2015
Ahmed Sharahili,sa KSA,DF,Al-Hilal,21,1994,7,5,408,0,0,0,0,0,0,0,0,0,0,0,2015
Khalid Sharahili,sa KSA,GK,Al-Hilal,28,1987,20,20,"1,800",0,0,0,0,1,0,0,0,0,0,0,2015
Mansor Sharahili,sa KSA,DF,Al-Wehda,24,1991,5,4,307,0,0,0,0,0,0,0,0,0,0,0,2015
Mutaeb Sharahili,sa KSA,GK,Al-Nassr,22,1992,7,6,557,0,0,0,0,0,0,0,0,0,0,0,2015
Riyadh Sharahili,sa KSA,MF,Al-Fateh,22,1993,4,1,60,0,0,0,0,0,0,0,0,0,0,0,2015
Sanad Sharahili,sa KSA,DF,Al-Shabab,29,1986,2,2,180,1,0,0,0,0,0,0.5,0,0.5,0.5,0.5,2015
Sanad Sharahili,sa KSA,DF,Al-Raed,29,1986,4,3,263,0,0,0,0,1,0,0,0,0,0,0,2015
Abdulaziz Al-Sharid,sa KSA,MF,Al-Hilal,21,1994,1,0,21,0,0,0,0,0,0,0,0,0,0,0,2015
Mohammed Sharifi,sa KSA,GK,Al-Wehda,36,1978,4,4,360,0,0,0,0,0,0,0,0,0,0,0,2015
Ibrahim Al-Shehri,sa KSA,MF,Al-Ittihad,19,1996,1,0,16,0,0,0,0,0,0,0,0,0,0,0,2015
Saleh Al-Shehri,sa KSA,FW,Al-Raed,21,1993,16,7,738,1,2,0,1,2,0,0.12,0.24,0.37,0.12,0.37,2015
Yahya Al-Shehri,sa KSA,MF,Al-Nassr,25,1990,25,20,"1,933",1,5,0,0,1,0,0.05,0.23,0.28,0.05,0.28,2015
Hussain Al-Sheikh,sa KSA,MF,Al-Khaleej,24,1990,8,5,477,0,0,0,0,1,0,0,0,0,0,0,2015
Abbas Shengeeti,sa KSA,"DF,FW",Al-Khaleej,27,1987,17,16,"1,463",1,0,0,0,3,0,0.06,0,0.06,0.06,0.06,2015
Abdusalam Al-Sherif,sa KSA,DF,Al-Raed,26,1989,5,2,274,0,0,0,0,0,0,0,0,0,0,0,2015
Sultan Al-Sherif,sa KSA,MF,Al-Raed,23,1991,18,14,"1,203",0,0,0,0,5,0,0,0,0,0,0,2015
Ali Al-Shoalah,sa KSA,FW,Al-Faisaly,26,1988,21,12,"1,041",0,1,0,0,1,0,0,0.09,0.09,0,0.09,2015
Hussein Al Shuwaysh,sa KSA,DF,Al-Raed,26,1988,13,11,"1,086",1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,2015
Salman Al-Sibyani,sa KSA,FW,Al-Ittihad,25,1989,1,0,19,0,0,0,0,0,0,0,0,0,0,0,2015
David Simbo,sl SLE,DF,Najran,25,1989,2,1,112,0,0,0,0,0,0,0,0,0,0,0,2015
Abdullah Al-Sobeai,sa KSA,MF,Al-Shabab,21,1993,4,2,179,0,0,0,0,1,0,0,0,0,0,0,2015
Omar Al-Sohaymi,sa KSA,MF,Al-Faisaly,22,1993,1,1,52,0,0,0,0,0,0,0,0,0,0,0,2015
Omar Al Somah,sy SYR,FW,Al-Ahli,26,1989,22,22,"1,949",27,1,7,9,0,0,1.25,0.05,1.29,0.92,0.97,2015
Morad Al-Soudani,sa KSA,DF,Al-Faisaly,25,1989,1,1,90,0,0,0,0,1,0,0,0,0,0,0,2015
Wesam Al-Sowayed,sa KSA,DF,Al-Faisaly,27,1987,24,22,"2,005",1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,2015
Fawaz Al-Sqoor,sn SEN,MF,Najran,19,1996,2,1,127,0,0,0,0,0,0,0,0,0,0,0,2015
Marko Stanojević,rs SRB,MF,Al-Fateh,27,1988,2,2,151,0,0,0,0,0,0,0,0,0,0,0,2015
Faiz Al Subaiei,sa KSA,GK,Al-Taawoun,32,1982,22,22,"1,980",0,0,0,0,3,0,0,0,0,0,0,2015
Abdullah Al-Sudairy,sa KSA,GK,Al-Hilal,23,1992,2,2,180,0,0,0,0,0,0,0,0,0,0,0,2015
Rabee Sufyani,sa KSA,"FW,MF",Al-Taawoun,28,1987,12,7,642,7,1,0,0,0,0,0.98,0.14,1.12,0.98,1.12,2015
Rabee Sufyani,sa KSA,"FW,MF",Al-Nassr,28,1987,1,1,70,0,0,0,0,0,0,0,0,0,0,0,2015
Ahmed Al-Suhail,sa KSA,MF,Al-Taawoun,26,1988,9,1,81,0,0,0,0,0,0,0,0,0,0,0,2015
Badr Al-Sulaitin,sa KSA,MF,Al-Shabab,25,1990,12,8,716,2,0,0,0,2,0,0.25,0,0.25,0.25,0.25,2015
Abdulmajeed Al-Sulayhem,sa KSA,MF,Al-Shabab,21,1994,14,10,901,0,1,0,0,2,0,0,0.1,0.1,0,0.1,2015
Zamil Al-Sulim,sa KSA,FW,Al-Wehda,25,1989,3,1,115,0,0,0,0,0,0,0,0,0,0,0,2015
Fahad Al-Swilem,sa KSA,MF,Al-Khaleej,23,1992,14,7,753,0,0,0,0,1,0,0,0,0,0,0,2015
Aboubacar Sylla,gn GUI,FW,Al-Khaleej,31,1983,24,24,"2,160",0,3,0,0,3,0,0,0.12,0.12,0,0.12,2015
Kwak Tae-hwi,kr KOR,DF,Al-Hilal,34,1981,19,19,"1,693",0,1,0,0,0,0,0,0.05,0.05,0,0.05,2015
Abdulaziz Takrouni,sa KSA,GK,Najran,23,1991,23,23,"2,070",0,0,0,0,2,0,0,0,0,0,0,2015
